dir,status,split,calibration,n,n_vpn,auc,pr_auc
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,3-DS ✅,test,raw,8733,782,0.9739369913096231,0.8485529351690166
artifacts/experiments/exp_f9_reduced,3-DS ✅,test,raw,8733,782,0.9726792074602721,0.7788450748070956
artifacts/experiments/exp_f5_weighted_usb,3-DS ✅,test,raw,8733,782,0.9723052738946765,0.6666976959614902
artifacts/experiments/exp_db_iat_balanced,3-DS ✅,test,raw,8495,657,0.9693748948940553,0.7881168826842535
artifacts/balanced_bagging_tuned,3-DS ✅,test,raw,9384,1289,0.9667708088251854,0.8822102985215932
artifacts/balanced_bagging_cat,3-DS ✅,test,raw,10846,1610,0.9642923383788524,0.8836692621012996
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,3-DS ✅,test,raw,8733,782,0.9616056273061248,0.785481069626172
artifacts/experiments/ablation_4f_no_p25,3-DS ✅,test,raw,8495,657,0.9592071448351182,0.6485950982798261
artifacts/balanced_bagging_xgb,3-DS ✅,test,raw,10846,1610,0.9569982367134815,0.8351758357716234
artifacts/balanced_bagging_lgbm,3-DS ✅,test,raw,10846,1610,0.9551069068107783,0.8369131233207217
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,2-DS (by design),test,raw,1844,251,0.9442568708217975,0.861325310784104
artifacts/experiments/ablation_3f_core,3-DS ✅,test,raw,8495,657,0.9388026097733284,0.6226058259870119
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,3-DS ✅,test,raw,8733,782,0.9368365895843498,0.7006437723692812
artifacts/experiments/feature_leakage_reduction/exp_3f-core,3-DS ✅,test,raw,8733,782,0.9347233422359008,0.6931070566186947
artifacts/ensemble/diverse_bagging_robust13,3-DS ✅,test,raw,9384,1289,0.9223566060709448,0.7440482417232221
artifacts/thesis_finalization/lodo_test_vnat,2-DS (by design),test,raw,16233,1030,0.8480983249984513,0.308456638943633
artifacts/experiments/baseline_2ds,2-DS (by design),test,raw,1890,357,0.7758948328189723,0.3952569438747294
artifacts/experiments/exp_e_adversarial,3-DS ✅,test,raw,8733,782,0.7298488407737804,0.19485559680076187
artifacts/thesis_finalization/lodo_test_iscx,2-DS (by design),test,raw,19251,3494,0.6485012666797421,0.2433642058373014
artifacts/ensemble/lood_usbvpn,2-DS (by design),test,raw,6810,423,0.5798389607140094,0.20426118856757508
artifacts/lood_firewall_tuned/hold_vnat,2-DS (by design),test,raw,2899,12,0.49965361967440247,0.00448747694461895
artifacts/thesis_finalization/lodo_test_usbvpn,2-DS (by design),test,raw,54594,8813,0.4830651258688692,0.1694703357940486
artifacts/leave_two_out/usbvpn,2-DS (by design),test,raw,14680,2954,0.4330801697435613,0.17201176039234206
artifacts/leave_two_out/vnat,2-DS (by design),test,raw,63963,11269,0.4216318553481045,0.25633345077268993
artifacts/lood_firewall_tuned/hold_iscx,2-DS (by design),test,raw,11781,2942,0.4116180731076484,0.2060490145729368
artifacts/leave_two_out/iscx,2-DS (by design),test,raw,55081,8339,0.29120351513416215,0.10017500222719894
artifacts/ensemble/lood_vnat,2-DS (by design),test,raw,407,3,0.2863036303630363,0.006634905988725754
