model_id,family,feature_family,n_features,pooled_auc,pooled_pr_auc,session_auc,recall,fpr,tp,fp,tn,fn,worst_domain_recall,worst_domain_fpr,lodo_iscx_auc,lodo_usbvpn_auc,lodo_vnat_auc,lodo_mean_auc,lodo_min_auc,domain_auc,domain_acc,ece,threshold_instability,runtime_compatible,final_score,dann_lambda,enc_hidden,dropout,batch_norm,balanced,input_domain_auc,embedding_domain_auc,domain_reduction,deployment_eligible,deployment_final_score,dann_research_score,groupdro
dann_v2__lam0.5_enc128x64_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9662538233411516,0.3082865364449879,0.8877887788778878,0.2179487179487179,0.0181394143560507,51.0,140.0,7578.0,183.0,,,,,,,,0.999980308267574,,0.070810417647941,0.0,True,0.9113782970172316,0.5,"[128, 64]",0.2,1.0,both,0.999980308267574,0.9999025953847672,7.771288280677968e-05,False,,0.6484930783249231,
dann_v2__lam1.0_enc64x32_do0.4_bn1_balboth,dann_v2,full_canonical,34,0.959838029869126,0.2853765026938311,0.8547854785478547,0.0512820512820512,0.0124384555584348,12.0,96.0,7622.0,222.0,,,,,,,,0.999980308267574,,0.0994723437172831,0.0,True,0.9088392222174092,1.0,"[64, 32]",0.4,1.0,both,0.999980308267574,0.9999071955217436,7.311274583055027e-05,False,,0.6374837113574594,
dann_v2__lam1.0_enc64x32_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.953967083275194,0.2261772630010355,0.8613861386138614,0.0384615384615384,0.0108836486136304,9.0,84.0,7634.0,225.0,,,,,,,,0.999980308267574,,0.0849863088470503,0.0,True,0.9075115743302806,1.0,"[64, 32]",0.2,1.0,both,0.999980308267574,0.9999667036733432,1.360459423072058e-05,False,,0.6348030806810548,
dann_v2__lam5.0_enc64x32_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9530800459797608,0.2247529735850746,0.8580858085808581,0.0299145299145299,0.0090697071780253,7.0,70.0,7648.0,227.0,,,,,,,,0.999980308267574,,0.0925765201235476,0.0,True,0.9065105428443202,5.0,"[64, 32]",0.2,1.0,both,0.999980308267574,0.9999307921888688,4.951607870529173e-05,False,,0.6327715628627857,
dann_v2__lam5.0_enc32x16_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9529288841934608,0.2285558308731916,0.8250825082508251,0.0512820512820512,0.0069966312516195,12.0,54.0,7664.0,222.0,,,,,,,,0.999980308267574,,0.1016706231012173,0.0,True,0.904087951805784,5.0,"[32, 16]",0.2,1.0,both,0.999980308267574,0.9997754374182052,0.0002048708493688,False,,0.6312628020974319,
dann_v2__lam0.1_enc64x32_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9693617761122296,0.3558207375129822,0.9273927392739274,0.3675213675213675,0.0226742679450634,86.0,175.0,7543.0,148.0,,,,,,,,0.999980308267574,,0.0788061217725698,0.0,True,0.9027085819895004,0.1,"[64, 32]",0.2,1.0,both,0.999980308267574,0.9998937637460856,8.654452148848524e-05,False,,0.6490975690448771,
dann_v2__lam1.0_enc128x64_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9611021410710447,0.2639562955017541,0.891089108910891,0.2307692307692307,0.0211194610002591,54.0,163.0,7555.0,180.0,,,,,,,,0.999980308267574,,0.0763274326902663,0.0,True,0.8948819334847962,1.0,"[128, 64]",0.2,1.0,both,0.999980308267574,0.9997815348971132,0.0001987733704608,False,,0.6416783018638057,
dann_v2__lam1.0_enc64x32_do0.1_bn1_balboth,dann_v2,full_canonical,34,0.9543413886507952,0.2271922648135463,0.867986798679868,0.094017094017094,0.0163254729204457,22.0,126.0,7592.0,212.0,,,,,,,,0.999980308267574,,0.0866812282564587,0.0,True,0.89402924597719,1.0,"[64, 32]",0.1,1.0,both,0.999980308267574,0.9999976952675476,-1.738699997366755e-05,False,,0.63374073983515,
dann_v2__lam1.0_enc64x32_do0.2_bn0_balboth,dann_v2,full_canonical,34,0.941361408451328,0.198560505888551,0.8712871287128713,0.0128205128205128,0.0031096138896087,3.0,24.0,7694.0,231.0,,,,,,,,0.999980308267574,,0.1512504512946105,0.0,True,0.8742476741788483,1.0,"[64, 32]",0.2,0.0,both,0.999980308267574,0.9999636513489826,1.6656918591428926e-05,False,,0.6105003000097894,
relative_shape_v2__xgb,xgb,relative_shape_v2,11,0.9905498966784274,,,,0.0526043016325472,,,,,,,0.3858933171254088,,0.3630363036303631,0.3744648103778859,0.3630363036303631,1.0,,0.0573456350256212,,True,,,,,,,,,,True,0.022781224654764017,,False
relative_shape_v2__xgb__groupdro,xgb,relative_shape_v2,11,0.9903898755932962,,,,0.0532521378595491,,,,,,,0.410883290539451,,0.5024752475247525,0.4566792690321017,0.410883290539451,1.0,,0.0576153741697982,,True,,,,,,,,,,True,0.111506047048165,,True
relative_shape_v2__lgbm,lgbm,relative_shape_v2,11,0.9936982700004208,,,,0.0292821974604819,,,,,,,0.7696366034474916,,0.5552805280528053,0.6624585657501485,0.5552805280528053,1.0,,0.0350412836754136,,True,,,,,,,,,,True,0.3704289406439056,,False
relative_shape_v2__lgbm__groupdro,lgbm,relative_shape_v2,11,0.9940149899336216,,,,0.0294117647058823,,,,,,,0.768782793138094,,0.6592409240924093,0.7140118586152516,0.6592409240924093,1.0,,0.0349017916495276,,True,,,,,,,,,,True,0.5001684643111826,,True
relative_shape_v2__cat,cat,relative_shape_v2,11,0.9888860096167688,,,,0.0669862658719875,,,,,,,0.6639398487536025,,0.4797854785478548,0.5718626636507287,0.4797854785478548,1.0,,0.0651594709661681,,True,,,,,,,,,,True,0.23268037616368023,,False
relative_shape_v2__cat__groupdro,cat,relative_shape_v2,11,0.9902431434564112,,,,0.0424980564913189,,,,,,,0.576979372108312,,0.4265676567656765,0.5017735144369943,0.4265676567656765,1.0,,0.0431233884235731,,True,,,,,,,,,,True,0.1560490527554506,,True
